Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",1206,2,100uF,C309030
J1,sdcard-socket,1,SDCARD,
J2,CONN9_MSD-1_CUD,1,Micro_SD_Card_Det1,C381082
"Q1, Q2, Q3, Q4",SOT-23,4,BSS138,C78284
"RN1, RN2",R_Array_Convex_4x0603,2,10k,C110924
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,C5346136
